datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered
2011-02-01 00:00:00,1,0,1,2,6.56,9.09,64,7.0015,2,6
2011-02-01 01:00:00,1,0,1,2,6.56,9.09,69,7.0015,0,3
2011-02-01 02:00:00,1,0,1,2,6.56,11.365,69,0.0,0,2
2011-02-01 03:00:00,1,0,1,2,6.56,11.365,69,0.0,0,2
2011-02-01 05:00:00,1,0,1,3,5.74,10.605,93,0.0,0,3
2011-02-01 06:00:00,1,0,1,3,5.74,10.605,93,0.0,0,22
2011-02-01 07:00:00,1,0,1,3,6.56,11.365,93,0.0,0,52
2011-02-01 08:00:00,1,0,1,3,6.56,11.365,93,0.0,3,132
2011-02-01 09:00:00,1,0,1,2,6.56,11.365,93,0.0,2,114
2011-02-01 10:00:00,1,0,1,2,6.56,11.365,93,0.0,0,47
2011-02-01 11:00:00,1,0,1,2,7.38,12.12,86,0.0,2,49
2011-02-01 12:00:00,1,0,1,2,8.2,12.88,86,0.0,2,53
2011-02-01 13:00:00,1,0,1,2,8.2,12.88,86,0.0,3,49
2011-02-01 14:00:00,1,0,1,2,9.02,12.88,80,6.0032,5,49
2011-02-01 15:00:00,1,0,1,2,9.84,14.395,75,0.0,7,45
2011-02-01 16:00:00,1,0,1,2,9.84,12.12,75,8.9981,3,61
2011-02-01 17:00:00,1,0,1,2,9.84,14.395,75,0.0,4,172
2011-02-01 18:00:00,1,0,1,2,9.84,12.88,81,7.0015,3,165
2011-02-01 19:00:00,1,0,1,2,9.84,12.12,81,8.9981,3,105
2011-02-01 20:00:00,1,0,1,2,9.02,11.365,87,8.9981,5,69
2011-02-01 21:00:00,1,0,1,2,9.02,11.365,87,8.9981,0,64
2011-02-01 22:00:00,1,0,1,2,9.02,12.88,87,6.0032,2,34
2011-02-01 23:00:00,1,0,1,3,8.2,9.85,93,12.998,1,15
2011-02-02 00:00:00,1,0,1,3,9.02,12.12,93,7.0015,0,2
2011-02-02 01:00:00,1,0,1,3,9.02,11.365,93,12.998,0,3
2011-02-02 02:00:00,1,0,1,3,9.02,11.365,93,8.9981,4,0
2011-02-02 03:00:00,1,0,1,3,9.02,11.365,93,8.9981,0,1
2011-02-02 04:00:00,1,0,1,3,9.02,10.605,93,19.0012,0,1
2011-02-02 05:00:00,1,0,1,3,9.02,12.12,93,7.0015,0,3
2011-02-02 06:00:00,1,0,1,3,9.02,12.12,93,7.0015,1,17
2011-02-02 07:00:00,1,0,1,3,9.02,10.605,93,15.0013,1,48
2011-02-02 08:00:00,1,0,1,3,9.02,10.605,93,15.0013,1,154
2011-02-02 09:00:00,1,0,1,2,9.84,12.88,93,6.0032,4,119
2011-02-02 10:00:00,1,0,1,2,9.02,13.635,100,0.0,2,59
2011-02-02 11:00:00,1,0,1,2,9.84,11.365,93,12.998,5,47
2011-02-02 12:00:00,1,0,1,2,9.84,11.365,93,15.0013,3,61
2011-02-02 13:00:00,1,0,1,1,13.94,16.665,93,11.0014,1,74
2011-02-02 14:00:00,1,0,1,1,15.58,19.695,82,26.0027,2,61
2011-02-02 15:00:00,1,0,1,1,15.58,19.695,76,22.0028,10,66
2011-02-02 16:00:00,1,0,1,1,14.76,16.665,71,19.9995,8,95
2011-02-02 17:00:00,1,0,1,1,14.76,15.91,53,35.0008,7,183
2011-02-02 18:00:00,1,0,1,1,13.94,14.395,42,36.9974,7,175
2011-02-02 19:00:00,1,0,1,1,11.48,12.12,45,32.9975,3,88
2011-02-02 20:00:00,1,0,1,1,9.84,9.85,48,36.9974,4,71
2011-02-02 21:00:00,1,0,1,1,9.02,9.85,47,22.0028,1,62
2011-02-02 22:00:00,1,0,1,1,9.02,10.605,44,16.9979,5,35
2011-02-02 23:00:00,1,0,1,1,8.2,8.335,44,30.0026,3,29
2011-02-03 00:00:00,1,0,1,1,8.2,8.335,40,30.0026,1,11
2011-02-03 01:00:00,1,0,1,1,8.2,7.575,44,35.0008,0,5
2011-02-03 02:00:00,1,0,1,1,7.38,8.335,43,16.9979,0,2
2011-02-03 03:00:00,1,0,1,1,7.38,8.335,43,16.9979,0,1
2011-02-03 05:00:00,1,0,1,1,6.56,6.82,50,19.9995,0,2
2011-02-03 06:00:00,1,0,1,1,6.56,6.82,43,23.9994,0,39
2011-02-03 07:00:00,1,0,1,1,5.74,6.06,50,22.0028,1,86
2011-02-03 08:00:00,1,0,1,1,5.74,6.06,50,23.9994,4,184
2011-02-03 09:00:00,1,0,1,1,6.56,6.82,47,19.9995,6,127
2011-02-03 10:00:00,1,0,1,1,7.38,7.575,43,22.0028,2,50
2011-02-03 11:00:00,1,0,1,1,7.38,6.82,43,30.0026,9,55
2011-02-03 12:00:00,1,0,1,1,8.2,9.09,40,23.9994,2,67
2011-02-03 13:00:00,1,0,1,1,8.2,8.335,40,27.9993,4,47
2011-02-03 14:00:00,1,0,1,1,9.02,9.85,37,26.0027,4,43
2011-02-03 15:00:00,1,0,1,1,9.02,9.85,37,22.0028,4,56
2011-02-03 16:00:00,1,0,1,1,9.02,10.605,37,16.9979,5,73
2011-02-03 17:00:00,1,0,1,1,8.2,9.85,40,12.998,5,170
2011-02-03 18:00:00,1,0,1,1,8.2,10.605,40,11.0014,2,145
2011-02-03 19:00:00,1,0,1,1,8.2,12.88,40,0.0,4,92
2011-02-03 20:00:00,1,0,1,1,8.2,11.365,47,6.0032,1,108
2011-02-03 21:00:00,1,0,1,1,7.38,10.605,55,7.0015,1,53
2011-02-03 22:00:00,1,0,1,1,7.38,10.605,51,6.0032,2,39
2011-02-03 23:00:00,1,0,1,1,8.2,11.365,47,7.0015,4,34
2011-02-04 00:00:00,1,0,1,2,8.2,12.88,44,0.0,3,10
2011-02-04 01:00:00,1,0,1,2,6.56,11.365,59,0.0,0,7
2011-02-04 02:00:00,1,0,1,2,5.74,8.335,63,7.0015,0,1
2011-02-04 03:00:00,1,0,1,2,5.74,8.335,63,7.0015,0,1
2011-02-04 05:00:00,1,0,1,2,5.74,7.575,63,8.9981,0,7
2011-02-04 06:00:00,1,0,1,2,6.56,11.365,55,0.0,2,26
2011-02-04 07:00:00,1,0,1,1,5.74,10.605,59,0.0,0,87
2011-02-04 08:00:00,1,0,1,1,5.74,7.575,74,8.9981,3,217
2011-02-04 09:00:00,1,0,1,2,6.56,9.09,80,8.9981,3,124
2011-02-04 10:00:00,1,0,1,2,8.2,10.605,51,8.9981,5,46
